
2022/04/19 (16:50:13) | ===> btop++ v.1.2.6
2022/04/19 (16:50:13) | WARNING: Failed to join _runner thread on exit!

2022/04/20 (16:40:11) | ===> btop++ v.1.2.6
2022/04/20 (16:40:11) | ERROR: Stall in Runner thread, restarting!

2022/04/22 (12:09:14) | ===> btop++ v.1.2.6
2022/04/22 (12:09:14) | ERROR: Stall in Runner thread, restarting!

2022/04/22 (16:49:49) | ===> btop++ v.1.2.6
2022/04/22 (16:49:49) | ERROR: Stall in Runner thread, restarting!

2022/04/27 (19:35:58) | ===> btop++ v.1.2.6
2022/04/27 (19:35:58) | ERROR: Stall in Runner thread, restarting!

2022/05/03 (12:46:52) | ===> btop++ v.1.2.6
2022/05/03 (12:46:52) | ERROR: Stall in Runner thread, restarting!

2022/05/04 (08:50:58) | ===> btop++ v.1.2.6
2022/05/04 (08:50:58) | ERROR: Stall in Runner thread, restarting!
2022/05/04 (09:46:49) | WARNING: Failed to join _runner thread on exit!

2022/06/08 (08:39:26) | ===> btop++ v.1.2.6
2022/06/08 (08:39:26) | ERROR: Stall in Runner thread, restarting!
2022/06/09 (14:49:32) | WARNING: Failed to join _runner thread on exit!

2022/06/10 (15:37:46) | ===> btop++ v.1.2.6
2022/06/10 (15:37:46) | ERROR: Stall in Runner thread, restarting!

2022/06/13 (19:23:52) | ===> btop++ v.1.2.6
2022/06/13 (19:23:52) | ERROR: Stall in Runner thread, restarting!
2022/06/14 (15:43:11) | WARNING: Failed to join _runner thread on exit!

2022/06/21 (08:28:08) | ===> btop++ v.1.2.6
2022/06/21 (08:28:08) | ERROR: Stall in Runner thread, restarting!

2022/07/07 (08:40:03) | ===> btop++ v.1.2.6
2022/07/07 (08:40:03) | ERROR: Stall in Runner thread, restarting!
